Date,Home,Away,Kick-Off,End,Location,Time Zone,Home Score,Away Score
26/06/2021,The Lions,Japan,17:00,18:30,BT Murrayfield - Edinburgh,Europe/London,28,10
03/07/2021,Sigma Lions,The Lions,18:00,19:30,Emirates Airline Park - Johannesburg,Africa/Johannesburg,14,56
07/07/2021,Cell C Sharks,The Lions,19:00,20:30,Emirates Airline Park - Johannesburg,Africa/Johannesburg,7,54
10/07/2021,Cell C Sharks,The Lions,18:00,19:30,Loftus Versfeld Stadium - Pretoria,Africa/Johannesburg,31,71
14/07/2021,South Africa A,The Lions,20:00,21:30,Cape Town Stadium - Cape Town,Africa/Johannesburg,17,13
17/07/2021,DHL Stormers,The Lions,18:00,19:30,Cape Town Stadium - Cape Town,Africa/Johannesburg,3,49
24/07/2021,South Africa,The Lions,18:00,19:30,Cape Town Stadium - Cape Town,Africa/Johannesburg,17,22
31/07/2021,South Africa,The Lions,18:00,19:30,Cape Town Stadium - Cape Town,Africa/Johannesburg,27,9
07/08/2021,South Africa,The Lions,18:00,19:30,Cape Town Stadium - Cape Town,Africa/Johannesburg,19,16
20/06/2025,The Lions,Argentina,20:00,21:30,Aviva Stadium - Dublin,Europe/Dublin,,
28/06/2025,Western Force,The Lions,18:00,19:30,Optus Stadium - Perth,Australia/Perth,,
02/07/2025,Queensland Reds,The Lions,20:00,21:30,Suncorp Stadium - Brisbane,Australia/Brisbane,,
05/07/2025,NSW Waratahs,The Lions,20:00,21:30,Allianz Stadium - Sydney,Australia/Sydney,,
09/07/2025,ACT Brumbies,The Lions,20:00,21:30,GIO Stadium - Canberra,Australia/Canberra,,
12/07/2025,Invitational AUS/NZ,The Lions,19:30,21:00,Adelaide Oval - Adelaide,Australia/Adelaide,,
19/07/2025,Wallabies,The Lions,20:00,21:30,Suncorp Stadium - Brisbane,Australia/Brisbane,,
22/07/2025,First Nations & Pacifica XV,The Lions,20:00,21:30,Marvel Stadium - Melbourne,Australia/Melbourne,,
26/07/2025,Wallabies,The Lions,20:00,21:30,MCG - Melbourne,Australia/Melbourne,,
02/08/2025,Wallabies,The Lions,20:00,21:30,Accor Stadium - Sydney,Australia/Sydney,,
