Country,Category,Session,Timezone,Start Date,Start Time,End Date,End Time,Circuit,Title
Malaysia,MotoGP,Test,Asia/Kuala_Lumpur,05/02/2023,,07/02/2023,,Sepang International Circuit,Sepang Shakedown MotoGP Official Test
Malaysia,MotoGP,Test,Asia/Kuala_Lumpur,10/02/2023,,12/02/2023,,Sepang International Circuit,Sepang MotoGP Official Test
Portugal,MotoGP,Test,Europe/Lisbon,11/03/2023,,12/03/2023,,Autódromo Internacional do Algarve,Portimao MotoGP Official Test
Portugal,MotoGP,Qualifying,Europe/Lisbon,25/03/2023,10:50,25/03/2023,11:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal
Portugal,MotoGP,Tissot Sprint,Europe/Lisbon,25/03/2023,15:00,25/03/2023,15:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal
Portugal,MotoGP,Race,Europe/Lisbon,26/03/2023,14:00,26/03/2023,14:50,Autódromo Internacional do Algarve,Grande Prémio de Portugal
Argentina,MotoGP,Qualifying,America/Mendoza,01/04/2023,10:50,01/04/2023,11:30,Termas de Río Hondo,Gran Premio Michelin de la República Argentina
Argentina,MotoGP,Tissot Sprint,America/Mendoza,01/04/2023,15:00,01/04/2023,15:30,Termas de Río Hondo,Gran Premio Michelin de la República Argentina
Argentina,MotoGP,Race,America/Mendoza,02/04/2023,14:00,02/04/2023,14:50,Termas de Río Hondo,Gran Premio Michelin de la República Argentina
USA,MotoGP,Qualifying,America/Chicago,15/04/2023,10:50,15/04/2023,11:30,Circuit of The Americas,Reb Bull Grand Prix of The Americas
USA,MotoGP,Tissot Sprint,America/Chicago,15/04/2023,15:00,15/04/2023,15:30,Circuit of The Americas,Reb Bull Grand Prix of The Americas
USA,MotoGP,Race,America/Chicago,16/04/2023,14:00,16/04/2023,14:50,Circuit of The Americas,Reb Bull Grand Prix of The Americas
Spain,MotoGP,Qualifying,Europe/Madrid,29/04/2023,10:50,29/04/2023,11:30,Circuito de Jerez - Angel Nieto,Gran Premio de España
Spain,MotoGP,Tissot Sprint,Europe/Madrid,29/04/2023,15:00,29/04/2023,15:30,Circuito de Jerez - Angel Nieto,Gran Premio de España
Spain,MotoGP,Race,Europe/Madrid,30/04/2023,15:00,30/04/2023,15:50,Circuito de Jerez - Angel Nieto,Gran Premio de España
Spain,MotoGP,Test,Europe/Madrid,01/05/2023,,01/05/2023,,Circuito de Jerez - Angel Nieto,Jerez MotoGP Official Test
France,MotoGP,Qualifying,Europe/Paris,13/05/2023,10:50,13/05/2023,11:30,Le Mans,SHARK Grand Prix de France
France,MotoGP,Tissot Sprint,Europe/Paris,13/05/2023,15:00,13/05/2023,15:30,Le Mans,SHARK Grand Prix de France
France,MotoGP,Race,Europe/Paris,14/05/2023,14:00,14/05/2023,14:50,Le Mans,SHARK Grand Prix de France
Italy,MotoGP,Qualifying,Europe/Rome,10/06/2023,10:50,10/06/2023,11:30,Autodromo Internazionale del Mugello,Gran Premio d’Italia Oakley
Italy,MotoGP,Tissot Sprint,Europe/Rome,10/06/2023,15:00,10/06/2023,15:30,Autodromo Internazionale del Mugello,Gran Premio d’Italia Oakley
Italy,MotoGP,Race,Europe/Rome,11/06/2023,14:00,11/06/2023,14:50,Autodromo Internazionale del Mugello,Gran Premio d’Italia Oakley
Germany,MotoGP,Qualifying,Europe/Berlin,17/06/2023,10:50,17/06/2023,11:30,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland
