Country,Category,Session,Timezone,Start Date,Start Time,End Date,End Time,Circuit,Title,Country Code
Valencia,MotoGP,Testing,Europe/Madrid,28/11/2023,,28/11/2023,,Circuit Ricardo Tormo,Valencia MotoGP Official Test,ESP
Malaysia,MotoGP,Testing,Asia/Kuala_Lumpur,01/02/2024,,03/02/2024,,Sepang International Circuit,Sepang Shakedown MotoGP Official Test,MYS
Malaysia,MotoGP,Testing,Asia/Kuala_Lumpur,06/02/2024,,08/02/2024,,Sepang International Circuit,Sepang MotoGP Official Test,MYS
Qatar,MotoGP,Testing,Asia/Qatar,19/02/2024,,20/02/2024,,Losail International Circuit,Qatar MotoGP Official Test\,QAT
Qatar,Moto3,Free Practice,Asia/Qatar,08/03/2024,14:00,08/03/2024,14:35,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto2,Free Practice,Asia/Qatar,08/03/2024,14:50,08/03/2024,15:30,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Free Practice 1,Asia/Qatar,08/03/2024,15:45,08/03/2024,16:30,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto3,Practice 1,Asia/Qatar,08/03/2024,18:15,08/03/2024,18:50,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto2,Practice 1,Asia/Qatar,08/03/2024,19:20,08/03/2024,20:00,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Practice,Asia/Qatar,08/03/2024,20:10,08/03/2024,21:10,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto3,Practice 2,Asia/Qatar,09/03/2024,12:10,09/03/2024,12:40,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto2,Practice 2,Asia/Qatar,09/03/2024,12:55,09/03/2024,13:25,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Free Practice 2,Asia/Qatar,09/03/2024,13:40,09/03/2024,14:25,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Qualifying 1,Asia/Qatar,09/03/2024,14:40,09/03/2024,14:55,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Qualifying 2,Asia/Qatar,09/03/2024,15:05,09/03/2024,15:20,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto3,Qualifying 1,Asia/Qatar,09/03/2024,16:50,09/03/2024,17:05,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto3,Qualifying 2,Asia/Qatar,09/03/2024,17:15,09/03/2024,17:30,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto2,Qualifying 1,Asia/Qatar,09/03/2024,17:45,09/03/2024,18:00,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto2,Qualifying 2,Asia/Qatar,09/03/2024,18:10,09/03/2024,18:25,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Tissot Sprint,Asia/Qatar,09/03/2024,19:00,09/03/2024,19:30,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Warm Up,Asia/Qatar,10/03/2024,15:40,10/03/2024,15:50,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto3,Race,Asia/Qatar,10/03/2024,17:00,10/03/2024,17:30,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,Moto2,Race,Asia/Qatar,10/03/2024,18:15,10/03/2024,18:55,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Qatar,MotoGP,Race,Asia/Qatar,10/03/2024,20:00,10/03/2024,20:50,Losail International Circuit,Qatar Airways Grand Prix of Qatar,QAT
Portugal,Moto3,Free Practice,Europe/Lisbon,22/03/2024,09:00,22/03/2024,09:35,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto2,Free Practice,Europe/Lisbon,22/03/2024,09:50,22/03/2024,10:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Free Practice 1,Europe/Lisbon,22/03/2024,10:45,22/03/2024,11:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto3,Practice 1,Europe/Lisbon,22/03/2024,13:15,22/03/2024,13:50,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto2,Practice 1,Europe/Lisbon,22/03/2024,14:05,22/03/2024,14:45,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Practice,Europe/Lisbon,22/03/2024,15:00,22/03/2024,16:00,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto3,Practice 2,Europe/Lisbon,23/03/2024,08:40,23/03/2024,09:10,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto2,Practice 2,Europe/Lisbon,23/03/2024,09:25,23/03/2024,09:55,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Free Practice 2,Europe/Lisbon,23/03/2024,10:10,23/03/2024,10:40,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Qualifying 1,Europe/Lisbon,23/03/2024,10:50,23/03/2024,11:05,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Qualifying 2,Europe/Lisbon,23/03/2024,11:15,23/03/2024,11:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto3,Qualifying 1,Europe/Lisbon,23/03/2024,12:50,23/03/2024,13:05,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto3,Qualifying 2,Europe/Lisbon,23/03/2024,13:15,23/03/2024,13:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto2,Qualifying 1,Europe/Lisbon,23/03/2024,13:45,23/03/2024,14:00,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto2,Qualifying 2,Europe/Lisbon,23/03/2024,14:10,23/03/2024,14:25,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Tissot Sprint,Europe/Lisbon,23/03/2024,15:00,23/03/2024,15:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Warm Up,Europe/Lisbon,24/03/2024,11:40,24/03/2024,11:50,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto3,Race,Europe/Lisbon,24/03/2024,11:00,24/03/2024,11:30,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,Moto2,Race,Europe/Lisbon,24/03/2024,12:15,24/03/2024,12:55,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
Portugal,MotoGP,Race,Europe/Lisbon,24/03/2024,14:00,24/03/2024,14:50,Autódromo Internacional do Algarve,Grande Prémio de Portugal,PRT
USA,Moto3,Free Practice,America/Chicago,12/04/2024,09:00,12/04/2024,09:35,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto2,Free Practice,America/Chicago,12/04/2024,09:50,12/04/2024,10:30,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Free Practice 1,America/Chicago,12/04/2024,10:45,12/04/2024,11:30,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto3,Practice 1,America/Chicago,12/04/2024,13:15,12/04/2024,13:50,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto2,Practice 1,America/Chicago,12/04/2024,14:05,12/04/2024,14:45,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Practice,America/Chicago,12/04/2024,15:00,12/04/2024,16:00,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto3,Practice 2,America/Chicago,13/04/2024,08:40,13/04/2024,09:10,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto2,Practice 2,America/Chicago,13/04/2024,09:25,13/04/2024,09:55,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Free Practice 2,America/Chicago,13/04/2024,10:10,13/04/2024,10:40,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Qualifying 1,America/Chicago,13/04/2024,10:50,13/04/2024,11:05,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Qualifying 2,America/Chicago,13/04/2024,11:15,13/04/2024,11:30,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto3,Qualifying 1,America/Chicago,13/04/2024,12:50,13/04/2024,13:05,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto3,Qualifying 2,America/Chicago,13/04/2024,13:15,13/04/2024,13:30,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto2,Qualifying 1,America/Chicago,13/04/2024,13:45,13/04/2024,14:00,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto2,Qualifying 2,America/Chicago,13/04/2024,14:10,13/04/2024,14:25,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Tissot Sprint,America/Chicago,13/04/2024,15:00,13/04/2024,15:30,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Warm Up,America/Chicago,14/04/2024,09:40,14/04/2024,09:50,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto3,Race,America/Chicago,14/04/2024,11:00,14/04/2024,11:30,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,Moto2,Race,America/Chicago,14/04/2024,12:15,14/04/2024,12:55,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
USA,MotoGP,Race,America/Chicago,14/04/2024,14:00,14/04/2024,14:50,Circuit of The Americas,Red Bull Grand Prix of The Americas,USA
Spain,Moto3,Free Practice,Europe/Madrid,26/04/2024,09:00,26/04/2024,09:35,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto2,Free Practice,Europe/Madrid,26/04/2024,09:50,26/04/2024,10:30,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Free Practice 1,Europe/Madrid,26/04/2024,10:45,26/04/2024,11:30,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto3,Practice 1,Europe/Madrid,26/04/2024,13:15,26/04/2024,13:50,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto2,Practice 1,Europe/Madrid,26/04/2024,14:05,26/04/2024,14:45,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Practice,Europe/Madrid,26/04/2024,15:00,26/04/2024,16:00,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto3,Practice 2,Europe/Madrid,27/04/2024,08:40,27/04/2024,09:10,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto2,Practice 2,Europe/Madrid,27/04/2024,09:25,27/04/2024,09:55,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Free Practice 2,Europe/Madrid,27/04/2024,10:10,27/04/2024,10:40,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Qualifying 1,Europe/Madrid,27/04/2024,10:50,27/04/2024,11:05,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Qualifying 2,Europe/Madrid,27/04/2024,11:15,27/04/2024,11:30,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto3,Qualifying 1,Europe/Madrid,27/04/2024,12:50,27/04/2024,13:05,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto3,Qualifying 2,Europe/Madrid,27/04/2024,13:15,27/04/2024,13:30,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto2,Qualifying 1,Europe/Madrid,27/04/2024,13:45,27/04/2024,14:00,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto2,Qualifying 2,Europe/Madrid,27/04/2024,14:10,27/04/2024,14:25,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Tissot Sprint,Europe/Madrid,27/04/2024,15:00,27/04/2024,15:30,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Warm Up,Europe/Madrid,28/04/2024,09:40,28/04/2024,09:50,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto3,Race,Europe/Madrid,28/04/2024,11:00,28/04/2024,11:30,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,Moto2,Race,Europe/Madrid,28/04/2024,12:15,28/04/2024,12:55,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Spain,MotoGP,Race,Europe/Madrid,28/04/2024,14:00,28/04/2024,14:50,Circuito de Jerez - Angel Nieto,Gran Premio de España,ESP
Jerez,MotoGP,Testing,Europe/Madrid,29/04/2024,,29/04/2024,,Circuito de Jerez - Angel Nieto,Jerez MotoGP Official Test,ESP
France,Moto3,Free Practice,Europe/Paris,10/05/2024,09:00,10/05/2024,09:35,Le Mans,Grand Prix de France,FRA
France,Moto2,Free Practice,Europe/Paris,10/05/2024,09:50,10/05/2024,10:30,Le Mans,Grand Prix de France,FRA
France,MotoGP,Free Practice 1,Europe/Paris,10/05/2024,10:45,10/05/2024,11:30,Le Mans,Grand Prix de France,FRA
France,Moto3,Practice 1,Europe/Paris,10/05/2024,13:15,10/05/2024,13:50,Le Mans,Grand Prix de France,FRA
France,Moto2,Practice 1,Europe/Paris,10/05/2024,14:05,10/05/2024,14:45,Le Mans,Grand Prix de France,FRA
France,MotoGP,Practice,Europe/Paris,10/05/2024,15:00,10/05/2024,16:00,Le Mans,Grand Prix de France,FRA
France,Moto3,Practice 2,Europe/Paris,11/05/2024,08:40,11/05/2024,09:10,Le Mans,Grand Prix de France,FRA
France,Moto2,Practice 2,Europe/Paris,11/05/2024,09:25,11/05/2024,09:55,Le Mans,Grand Prix de France,FRA
France,MotoGP,Free Practice 2,Europe/Paris,11/05/2024,10:10,11/05/2024,10:40,Le Mans,Grand Prix de France,FRA
France,MotoGP,Qualifying 1,Europe/Paris,11/05/2024,10:50,11/05/2024,11:05,Le Mans,Grand Prix de France,FRA
