Event,Session,Timezone,Start Date,Start Time,End Date,End Time,Circuit,Title
Qatar,Free Practice 1,Asia/Qatar,29/02/2024,12:20,29/02/2024,13:50,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Free Practice 2,Asia/Qatar,29/02/2024,17:30,29/02/2024,19:00,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Free Practice 3,Asia/Qatar,29/02/2024,11:00,29/02/2024,12:00,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Qualifying - LMGT3,Asia/Qatar,01/03/2024,16:00,01/03/2024,16:12,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Qualifying - Hypercar,Asia/Qatar,01/03/2024,16:20,01/03/2024,16:32,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Qualifying - Hyperpole LMGT3,Asia/Qatar,01/03/2024,16:40,01/03/2024,16:50,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Qualifying - Hyperpole Hypercar,Asia/Qatar,01/03/2024,16:58,01/03/2024,17:08,Lusail International Circuit,Qatar Airways Qatar 1812 km
Qatar,Race,Asia/Qatar,02/03/2024,11:00,02/03/2024,21:00,Lusail International Circuit,Qatar Airways Qatar 1812 km
Imola,Free Practice 1,Europe/Rome,19/04/2024,13:00,19/04/2024,14:30,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Free Practice 2,Europe/Rome,19/04/2024,18:15,19/04/2024,19:45,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Free Practice 3,Europe/Rome,20/04/2024,12:10,20/04/2024,13:10,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Qualifying - LMGT3,Europe/Rome,20/04/2024,15:45,20/04/2024,15:57,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Qualifying - Hypercar,Europe/Rome,20/04/2024,16:05,20/04/2024,16:17,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Qualifying - Hyperpole LMGT3,Europe/Rome,20/04/2024,16:25,20/04/2024,16:35,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Qualifying - Hyperpole Hypercar,Europe/Rome,20/04/2024,16:43,20/04/2024,16:53,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Imola,Race,Europe/Rome,21/04/2024,14:00,21/04/2024,20:00,Autodromo Enzo e Dino Ferrari,6 Hours of Imola
Spa-Francorchamps,Free Practice 1,Europe/Brussels,09/05/2024,12:30,09/05/2024,14:00,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Free Practice 2,Europe/Brussels,09/05/2024,18:30,09/05/2024,20:00,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Free Practice 3,Europe/Brussels,10/05/2024,12:00,10/05/2024,13:00,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Qualifying - LMGT3,Europe/Brussels,10/05/2024,15:45,10/05/2024,15:57,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Qualifying - Hypercar,Europe/Brussels,10/05/2024,16:08,10/05/2024,16:20,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Qualifying - Hyperpole LMGT3,Europe/Brussels,10/05/2024,16:31,10/05/2024,16:41,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Qualifying - Hyperpole Hypercar,Europe/Brussels,10/05/2024,16:51,10/05/2024,17:01,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Spa-Francorchamps,Race,Europe/Brussels,11/05/2024,14:00,11/05/2024,20:00,Circuit de Spa-Francorchamps,TotalEnergies 6 Hours of Spa-Francorchamps
Le Mans,Free Practice,Europe/Paris,12/06/2024,16:00,12/06/2024,20:00,Circuit de la Sarthe,24 Hours of Le Mans
Le Mans,Qualifying 1,Europe/Paris,12/06/2024,22:00,13/06/2024,00:00,Circuit de la Sarthe,24 Hours of Le Mans
Le Mans,Qualifying 2,Europe/Paris,13/06/2024,19:00,13/06/2024,21:00,Circuit de la Sarthe,24 Hours of Le Mans
Le Mans,Qualifying 3,Europe/Paris,13/06/2024,22:00,14/06/2024,00:00,Circuit de la Sarthe,24 Hours of Le Mans
Le Mans,Race,Europe/Paris,15/06/2024,15:00,16/06/2024,15:00,Circuit de la Sarthe,24 Hours of Le Mans
São Paulo,Free Practice 1,America/Sao_Paulo,12/07/2024,10:45,12/07/2024,12:15,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Free Practice 2,America/Sao_Paulo,12/07/2024,15:15,12/07/2024,16:45,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Free Practice 3,America/Sao_Paulo,13/07/2024,10:30,13/07/2024,11:30,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Qualifying - LMGT3,America/Sao_Paulo,13/07/2024,14:30,13/07/2024,14:42,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Qualifying - Hypercar,America/Sao_Paulo,13/07/2024,14:50,13/07/2024,15:02,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Qualifying - Hyperpole LMGT3,America/Sao_Paulo,13/07/2024,15:10,13/07/2024,15:20,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Qualifying - Hyperpole Hypercar,America/Sao_Paulo,13/07/2024,15:30,13/07/2024,15:40,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
São Paulo,Race,America/Sao_Paulo,14/07/2024,11:30,14/07/2024,17:30,Autódromo José Carlos Pace,Rolex 6 Hours of São Paulo
Lone Star Le Mans,Placeholder,America/Chicago,30/08/2024,,01/09/2024,,Circuit of The Americas,Lone Star Le Mans
Fuji,Placeholder,Asia/Tokyo,13/09/2024,,15/09/2024,,Fuji Speedway,6 Hours of Fuji
Bahrain,Placeholder,Asia/Qatar,31/10/2024,,02/11/2024,,Bahrain International Circuit,Bapco Energies 8 Hours of Bahrain
